route,ridership_route_code,route_full_name,current_garage,mode,month_start,year_month,day_type,on_time_percent,data_source
P68,P68,P68 - BRADDOCK HILLS FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.5861,UTA
P69,P69,P69 - TRAFFORD FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.6015,UTA
P7,P7,P7 - MCKEESPORT FLYER,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.6532,UTA
P71,P71,P71 - SWISSVALE FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.6476,UTA
P76,P76,P76 - LINCOLN HIGHWAY FLYER,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.5887,UTA
P78,P78,P78 - OAKMONT FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.5695,UTA
Y1,Y1,Y1 - LARGE FLYER,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.7423,UTA
Y45,Y45,Y45 - BALDWIN MANOR FLYER,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.7803,UTA
Y46,Y46,Y46 - ELIZABETH FLYER,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.7064,UTA
Y46,Y46,Y46 - ELIZABETH FLYER,West Mifflin,Bus,2017-01-01,201701,SAT.,0.8577,UTA
Y46,Y46,Y46 - ELIZABETH FLYER,West Mifflin,Bus,2017-01-01,201701,SUN.,0.7098,UTA
Y47,Y47,Y47 - CURRY FLYER,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.7142,UTA
Y47,Y47,Y47 - CURRY FLYER,West Mifflin,Bus,2017-01-01,201701,SAT.,0.7213,UTA
Y49,Y49,Y49 - PROSPECT FLYER,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.7308,UTA
Y49,Y49,Y49 - PROSPECT FLYER,West Mifflin,Bus,2017-01-01,201701,SAT.,0.7438,UTA
Y49,Y49,Y49 - PROSPECT FLYER,West Mifflin,Bus,2017-01-01,201701,SUN.,0.7216,UTA
1,001,1 - FREEPORT ROAD,Ross,Bus,2017-02-01,201702,WEEKDAY,0.6764,UTA
1,001,1 - FREEPORT ROAD,Ross,Bus,2017-02-01,201702,SAT.,0.6311,UTA
1,001,1 - FREEPORT ROAD,Ross,Bus,2017-02-01,201702,SUN.,0.645,UTA
2,002,2 - MOUNT ROYAL,Ross,Bus,2017-02-01,201702,WEEKDAY,0.5968,UTA
