STOP_ID;sensor_ID;geometry
E70429;27399@1;LINESTRING (-79.98112500000001 40.44312599337251, -79.98497465999999 40.43943031337075)
E29130;27479@1;LINESTRING (-79.9211 40.46980799338507, -79.92005607 40.47176872338601)
E35850;14578@1;LINESTRING (-79.88874399999997 40.4730349933866, -79.89138920999999 40.48667020339305)
S34000;19127@1;LINESTRING (-79.88076999999998 40.39760099335093, -79.88385413 40.39648560335046)
E19570;19400@1;LINESTRING (-79.959442 40.43963499337086, -79.95728803 40.44131845337165)
E70244;5947@1;LINESTRING (-79.96341300000002 40.46742699338395, -79.96524813000001 40.465439153383)
E01140;8054@1;LINESTRING (-79.94885600000001 40.44707799337438, -79.94500005999998 40.44723338337442)
E46460;6880@2;LINESTRING (-79.92011199999999 40.45917099338006, -79.92172131000001 40.46213426338146)
E13450;27390@1;LINESTRING (-79.97887399999999 40.44437399337307, -79.97422452000001 40.44136946337166)
E19810;5287@1;LINESTRING (-79.927877 40.43790499337003, -79.92746902 40.43058326336659)
S09140;27568@1;LINESTRING (-79.97700099999999 40.38284299334398, -79.98281197999999 40.3843736233447)
E19280;8054@1;LINESTRING (-79.945786 40.44449799337311, -79.94500005999998 40.44723338337442)
S30660;27763@1;LINESTRING (-79.85119899999998 40.35231199332953, -79.84960968 40.34943842332816)
N30390;77@1;LINESTRING (-80.054878 40.49514599339702, -80.05701308999998 40.48835690339383)
